timestamp_s,temp_c,ror,gas_raw,class_id,state,risk_score,ttf_sec,soh_pct
0.33,24.97,0,264,0,SAFE,0,-1,95
0.83,24.86,0,260,0,SAFE,0,-1,95
1.44,24.96,0.0115,265,0,SAFE,0,-1,95
2.04,24.91,0,265,0,SAFE,0,-1,95
2.7,25.19,0.1847,257,0,SAFE,4,188,95
3.31,25.14,0.2047,261,0,SAFE,6,170,95
3.91,25.11,0.1197,265,0,SAFE,4,291,95
4.54,24.97,0,260,0,SAFE,0,-1,95
5.16,24.98,0,266,0,SAFE,0,-1,95
5.78,25.08,0.1374,261,0,SAFE,3,254,95
6.38,25.13,0.0829,261,0,SAFE,2,420,95
6.98,25.05,0.111,259,0,SAFE,2,314,95
7.58,24.92,0,264,0,SAFE,0,-1,95
8.19,24.99,0,268,0,SAFE,1,-1,95
8.8,25.0,0,260,0,SAFE,0,-1,95
9.53,24.99,0,271,0,SAFE,1,-1,95
10.24,25.08,0.1882,264,0,SAFE,6,185,95
10.89,24.95,0,260,0,SAFE,0,-1,95
11.54,24.96,0,256,0,SAFE,-1,-1,95
12.15,25.02,0.0637,266,0,SAFE,2,548,95
12.8,24.86,0,261,0,SAFE,0,-1,95
13.41,25.1,0.1518,263,0,SAFE,4,229,95
14.07,25.15,0.1683,259,0,SAFE,4,207,95
14.7,24.94,0,270,0,SAFE,1,-1,95
15.32,24.92,0,264,0,SAFE,0,-1,95
15.92,25.02,0,271,0,SAFE,1,-1,95
16.53,24.97,0,268,0,SAFE,1,-1,95
17.15,24.9,0,266,0,SAFE,0,-1,95
17.77,24.93,0,261,0,SAFE,0,-1,95
18.38,25.1,0.1237,265,0,SAFE,4,282,95
18.98,25.07,0.1462,268,0,SAFE,5,238,95
19.6,24.86,0,257,0,SAFE,-1,-1,95
20.21,24.99,0.0578,257,0,SAFE,0,605,95
20.82,24.97,0.0296,262,0,SAFE,0,-1,95
21.44,25.1,0.1681,257,0,SAFE,4,207,95
22.04,25.04,0.0541,258,0,SAFE,0,645,95
22.64,25.01,0,263,0,SAFE,0,-1,95
23.26,25.02,0.0628,264,0,SAFE,2,556,95
23.91,24.87,0,261,0,SAFE,0,-1,95
24.52,24.99,0.0326,261,0,SAFE,0,-1,95
25.13,24.84,0,262,0,SAFE,0,-1,95
25.79,25.06,0.069,258,0,SAFE,1,506,95
26.39,25.0,0.0036,263,0,SAFE,0,-1,95
27.01,24.94,0,259,0,SAFE,0,-1,95
27.61,24.91,0,264,0,SAFE,0,-1,95
28.2,24.99,0.0338,263,0,SAFE,1,-1,95
28.85,24.83,0,254,0,SAFE,-1,-1,95
29.45,25.03,0.024,262,0,SAFE,0,-1,95
30.05,25.0,0,261,0,SAFE,0,-1,95
30.65,25.1,0.1154,261,0,SAFE,3,302,95
31.26,24.98,0.0495,259,0,SAFE,0,-1,95
31.86,24.99,0.025,261,0,SAFE,0,-1,95
32.46,24.98,0,260,0,SAFE,0,-1,95
33.06,25.04,0.0394,269,0,SAFE,2,-1,95
33.68,24.8,0,263,0,SAFE,0,-1,95
34.28,24.95,0,260,0,SAFE,0,-1,95
34.9,24.94,0,263,0,SAFE,0,-1,95
35.52,25.04,0.0418,260,0,SAFE,0,-1,95
36.12,25.05,0.0339,265,0,SAFE,1,-1,95
36.73,25.04,0.0978,259,0,SAFE,2,357,95
37.33,25.02,0,262,0,SAFE,0,-1,95
37.93,24.97,0.0692,265,0,SAFE,2,506,95
38.53,25.01,0,262,0,SAFE,0,-1,95
39.13,24.95,0,262,0,SAFE,0,-1,95
39.74,25.12,0.1157,263,0,SAFE,3,301,95
